Designator,Mid X,Mid Y,Rotation,Layer
AE1,150.1,-77.05,180.0,top
C1,131.3075,-78.78,0.0,top
C10,126.4875,-85.7,180.0,top
C11,133.3675,-80.77,0.0,top
C12,122.7075,-85.7,0.0,top
C13,110.7875,-77.72,270.0,top
C15,133.85,-77.65,270.0,top
C16,160.6625,-78.95,0.0,top
C18,142.8,-80.3,90.0,top
C19,152.05,-84.75,90.0,top
C2,119.9875,-76.78,90.0,top
C20,160.1,-79.95,0.0,top
C21,157.72,-77.07,270.0,top
C22,154.72,-77.05,270.0,top
C23,162.75,-79.95,180.0,top
C24,154.85,-85.75,0.0,top
C25,163.45,-81.62,270.0,top
C26,151.2,-80.5,180.0,top
C3,131.3075,-79.77,0.0,top
C4,120.5075,-80.26,180.0,top
C5,127.68,-76.35,0.0,top
C6,131.3175,-77.78,0.0,top
C7,117.9875,-76.8,90.0,top
C8,131.34,-85.37,0.0,top
C9,122.56,-76.35,0.0,top
D1,110.1875,-84.7,270.0,top
D3,143.83,-76.83,0.0,top
J1,107.5375,-81.1,180.0,top
J11,146.0875,-84.7,90.0,top
J2,166.25,-81.0,0.0,top
J3,113.4875,-84.5,270.0,bottom
J4,144.4,-84.7,270.0,bottom
J6,166.23,-80.9,0.0,bottom
J9,107.6875,-80.9,180.0,bottom
L1,156.22,-76.65,180.0,top
L2,153.22,-76.65,180.0,top
MIC1,119.4575,-83.55,270.0,top
R1,118.5975,-79.6,0.0,top
R10,146.9475,-81.875,0.0,top
R11,162.3,-84.65,180.0,top
R12,151.2,-81.55,0.0,top
R13,162.31,-85.7,180.0,top
R15,151.26,-79.45,0.0,top
R16,149.55,-79.95,90.0,top
R17,143.0,-78.23,180.0,top
R2,129.88,-76.37,180.0,top
R3,118.9875,-76.81,270.0,top
R4,131.3275,-80.8,180.0,top
R5,118.1775,-78.5,0.0,top
R6,109.7875,-78.525,270.0,top
R8,146.9625,-80.775,0.0,top
R9,151.2,-82.6,0.0,top
U2,114.1925,-80.8,0.0,top
U3,125.7875,-81.0,180.0,top
U4,138.35,-80.6,90.0,top
U5,156.0,-82.1,270.0,top
Y1,132.51,-83.06,0.0,top
Y2,161.34,-82.245,270.0,top
