Designator,Mid X,Mid Y,Rotation,Layer
AE1,175.065001,-75.680001,90.0,top
C1,143.815,-79.6,0.0,top
C10,138.715,-86.7,270.0,top
C11,146.0105,-81.609,0.0,top
C12,126.615,-87.43,270.0,top
C13,122.801,-76.154,0.0,top
C14,139.115,-76.18,90.0,top
C15,146.553,-76.299,270.0,top
C16,173.017,-86.318,270.0,top
C18,153.953,-82.899,90.0,top
C19,146.553,-79.399,90.0,top
C2,132.595,-78.28,180.0,top
C20,171.956,-86.303,270.0,top
C21,175.045001,-83.3,180.0,top
C22,175.065001,-80.300001,180.0,top
C23,171.915,-88.38,90.0,top
C24,165.815,-79.78,180.0,top
C25,170.395,-89.18,180.0,top
C26,170.715,-77.28,90.0,top
C3,143.815,-80.59,0.0,top
C4,132.249,-81.562,180.0,top
C5,135.215,-76.38,90.0,top
C6,143.795,-78.6,0.0,top
C7,133.215,-85.13,270.0,top
C8,143.745,-86.18,0.0,top
C9,132.595,-77.18,180.0,top
D1,135.065,-86.98,0.0,top
D2,111.165,-81.13,270.0,top
D3,148.115,-85.18,270.0,top
J1,140.17,-72.6,90.0,bottom
J2,140.17,-90.38,90.0,bottom
L1,175.465001,-81.8,90.0,top
L2,175.465,-78.8,90.0,top
MIC1,130.015,-86.36,0.0,top
R1,129.861,-79.774,0.0,top
R10,166.849,-86.894,90.0,top
R11,152.851999,-86.48,0.0,top
R13,152.856,-85.28,0.0,top
R15,171.815,-77.270001,270.0,top
R16,171.224999,-75.28,0.0,top
R17,149.905,-84.18,180.0,top
R2,142.91,-75.944,270.0,top
R3,132.615,-79.38,0.0,top
R4,143.7325,-81.62,180.0,top
R5,129.861,-80.824,0.0,top
R6,124.105,-87.83,0.0,top
R7,122.681,-86.724,0.0,top
R8,165.749,-86.879,90.0,top
R9,168.615,-77.38,270.0,top
SW1,117.265,-84.702,0.0,top
SW2,117.265,-78.28,0.0,top
SW3,160.065,-78.18,0.0,top
SW4,160.115,-84.78,0.0,top
U2,124.515,-81.43,0.0,top
U3,137.8525,-81.48,180.0,top
U4,150.953,-79.199,90.0,top
U5,170.015,-81.58,180.0,top
USB1,106.301422,-76.023943,260.0,top
USB2,106.38946,-86.79,280.0,top
Y1,144.915,-83.88,0.0,top
Y2,169.615,-87.18,180.0,top
